supportId,name,supportType,branchName,boreMm,chainageMm,x,y,z,verticalLoadOpeKg,verticalLoadOpeN,verticalLoadHydKg,verticalLoadHydN,contributionCount
SUPPORT PS-12244/SREF,SUPPORT PS-12244/SREF,IGNORED_SUPPORT,/ASIM-1885-6"-S8811951-91261M7-HC-01/B2,150,4759.739997953829,423170.971,-1141125,1184.15,0,0,0,0,0
SUPPORT PS-12244,SUPPORT PS-12244,REST,/ASIM-1885-6"-S8811951-91261M7-HC-01/B2,150,7592.509711502743,423170.971,-1141125,1184.15,161.739542,1586.123,161.739542,1586.123,3
SUPPORT PS-12246/SREF,SUPPORT PS-12246/SREF,IGNORED_SUPPORT,/ASIM-1885-6"-S8811951-91261M7-HC-01/B2,150,42512.09828248946,425680.971,-1141125,1184.15,220.270363,2160.114,220.270363,2160.114,3
SUPPORT PS-12246,SUPPORT PS-12246,REST,/ASIM-1885-6"-S8811951-91261M7-HC-01/B2,150,50341.006523745076,425680.971,-1141125,1184.15,138.37022,1356.948,138.37022,1356.948,1
SUPPORT PS-12247,SUPPORT PS-12247,REST,/ASIM-1885-6"-S8811951-91261M7-HC-01/B2,150,77069.1516862589,427515.392,-1141125,1184.15,194.434224,1906.748,194.434224,1906.748,2
SUPPORT =1006649732/51254,SUPPORT =1006649732/51254,SUPPORT,/ASIM-1885-6"-S8811951-91261M7-HC-01/B2,150,109334.95754015211,428650.592,-1141125,1184.15,313.098297,3070.445,313.098297,3070.445,2
SUPPORT PS-12248/SREF,SUPPORT PS-12248/SREF,IGNORED_SUPPORT,/ASIM-1885-6"-S8811951-91261M7-HC-01/B2,150,148193.12984126847,430800.971,-1141125,1184.15,170.16816,1668.78,170.16816,1668.78,1
SUPPORT PS-12248,SUPPORT PS-12248,REST,/ASIM-1885-6"-S8811951-91261M7-HC-01/B2,150,184315.5407731554,430800.971,-1141125,1184.15,416.404964,4083.538,416.404964,4083.538,2
SUPPORT PS-12249/SREF,SUPPORT PS-12249/SREF,IGNORED_SUPPORT,/ASIM-1885-6"-S8811951-91261M7-HC-01/B2,150,276732.7352148787,432932.594,-1141125,1144.45,496.507972,4869.08,496.507972,4869.08,2
SUPPORT PS-12249,SUPPORT PS-12249,REST,/ASIM-1885-6"-S8811951-91261M7-HC-01/B2,150,299056.3212030777,432932.594,-1141125,1144.45,532.373128,5220.797,532.373128,5220.797,2
SUPPORT PS-12250/SREF,SUPPORT PS-12250/SREF,IGNORED_SUPPORT,/ASIM-1885-6"-S8811951-91261M7-HC-01/B2,150,417421.53879570035,436573.021,-1141125,1144.45,618.087198,6061.365,618.087198,6061.365,2
SUPPORT PS-12250,SUPPORT PS-12250,REST,/ASIM-1885-6"-S8811951-91261M7-HC-01/B2,150,447024.7884234017,436573.021,-1141125,1144.45,25.87388,253.736,25.87388,253.736,2
SUPPORT PS-12231/SREF,SUPPORT PS-12231/SREF,IGNORED_SUPPORT,/ASIM-1885-6"-S8811951-91261M7-HC-01/B7,150,528588.2695327263,438023.221,-1140070.762,1184.15,467.890914,4588.442,467.890914,4588.442,3
SUPPORT PS-12231,SUPPORT PS-12231,LINESTOP,/ASIM-1885-6"-S8811951-91261M7-HC-01/B7,150,530850.983532726,438023.221,-1140070.762,1184.15,397.55854,3898.717,397.55854,3898.717,5
SUPPORT PS-12311/SREF,SUPPORT PS-12311/SREF,IGNORED_SUPPORT,/ASIM-1885-6"-S8811951-91261M7-HC-01/B7,150,552832.279532726,438023.221,-1136824.031,1184.15,152.867053,1499.114,152.867053,1499.114,4
SUPPORT PS-12311,SUPPORT PS-12311,REST,/ASIM-1885-6"-S8811951-91261M7-HC-01/B7,150,560834.2175327261,438023.221,-1136824.031,1184.15,130.515971,1279.924,130.515971,1279.924,1
SUPPORT PS-12321/SREF,SUPPORT PS-12321/SREF,IGNORED_SUPPORT,/ASIM-1885-6"-S8811951-91261M7-HC-01/B7,150,583915.4357061305,438688.25,-1135075,1184.15,129.703093,1271.953,129.703093,1271.953,1
SUPPORT PS-12321,SUPPORT PS-12321,REST,/ASIM-1885-6"-S8811951-91261M7-HC-01/B7,150,595492.0955993538,438688.25,-1135075,1184.15,0,0,0,0,0
SUPPORT PS-12295/SREF,SUPPORT PS-12295/SREF,IGNORED_SUPPORT,/ASIM-1885-6"-S8811951-91261M7-HC-01/B7,150,618351.5837835652,443023.151,-1135075,1184.15,0,0,0,0,0
SUPPORT PS-12295,SUPPORT PS-12295,LINESTOP,/ASIM-1885-6"-S8811951-91261M7-HC-01/B7,150,641211.0719677766,443023.151,-1135075,1184.15,265.053567,2599.288,265.053567,2599.288,1
SUPPORT PS-12267/SREF,SUPPORT PS-12267/SREF,IGNORED_SUPPORT,/ASIM-1885-6"-S8811951-91261M7-HC-01/B7,150,690193.7867488349,445515.151,-1134225,1184.15,168.389037,1651.332,168.389037,1651.332,1
SUPPORT PS-12267,SUPPORT PS-12267,REST,/ASIM-1885-6"-S8811951-91261M7-HC-01/B7,150,710162.6640457588,445515.151,-1134225,1184.15,0,0,0,0,0
SUPPORT PS-12268/SREF,SUPPORT PS-12268/SREF,IGNORED_SUPPORT,/ASIM-1885-6"-S8811951-91261M7-HC-01/B7,150,745989.625068487,445515.151,-1131525,1184.15,0,0,0,0,0
SUPPORT PS-12268,SUPPORT PS-12268,REST,/ASIM-1885-6"-S8811951-91261M7-HC-01/B7,150,793758.9064321247,445515.151,-1131525,1184.15,0,0,0,0,0
SUPPORT =1006649732/51378,SUPPORT =1006649732/51378,SUPPORT,/ASIM-1885-6"-S8811951-91261M7-HC-01/B7,150,806511.595751839,445515.151,-1130505.016,1184.15,9.749749,95.612,9.749749,95.612,1
SUPPORT =1006657924/39571,SUPPORT =1006657924/39571,IGNORED_SUPPORT,/ASIM-1885-6"-S8810112-91261M7-HC-01/B6,150,840480.976887604,440660.219,-1160775,3114,72.920753,715.108,72.920753,715.108,1
SUPPORT =1006657924/39580,SUPPORT =1006657924/39580,SUPPORT,/ASIM-1885-6"-S8810112-91261M7-HC-01/B6,150,872117.7298218897,440660.219,-1165244.984,3114,0,0,0,0,0
SUPPORT PS-12061,SUPPORT PS-12061,REST,/ASIM-1885-6"-S8810111-91261M7-HC-01/B1,150,886754.8967931033,436479.221,-1144825,2184.15,0,0,0,0,0
SUPPORT PS-12061/SREF,SUPPORT PS-12061/SREF,IGNORED_SUPPORT,/ASIM-1885-6"-S8810111-91261M7-HC-01/B1,150,887569.8947931032,436479.221,-1144825,2184.15,0,0,0,0,0
SUPPORT PS-12240/SREF,SUPPORT PS-12240/SREF,IGNORED_SUPPORT,/ASIM-1885-6"-S8810111-91261M7-HC-01/B1,150,898711.890793103,431723.221,-1144825,2184.15,0,0,0,0,0
SUPPORT PS-12240,SUPPORT PS-12240,LINESTOP,/ASIM-1885-6"-S8810111-91261M7-HC-01/B1,150,915424.8847931027,431723.221,-1144825,2184.15,0,0,0,0,0
SUPPORT PS-12242,SUPPORT PS-12242,REST,/ASIM-1885-6"-S8810111-91261M7-HC-01/B1,150,956308.8767931024,427073.221,-1144825,2184.15,0,0,0,0,0
SUPPORT PS-12263,SUPPORT PS-12263,REST,/ASIM-1885-6"-S8810111-91261M7-HC-01/B1,150,996053.6237931026,424045.97,-1144825,2184.15,1122.564442,11008.597,1122.564442,11008.597,3
SUPPORT PS-12243/SREF,SUPPORT PS-12243/SREF,IGNORED_SUPPORT,/ASIM-1885-6"-S8810111-91261M7-HC-01/B1,150,1130491.5200563546,421773.221,-1142982,1184.15,861.532019,8448.743,861.532019,8448.743,3
SUPPORT PS-12243,SUPPORT PS-12243,LINESTOP,/ASIM-1885-6"-S8810111-91261M7-HC-01/B1,150,1177477.4993612925,421773.221,-1142982,1184.15,0,0,0,0,0
SUPPORT =1006649732/51422,SUPPORT =1006649732/51422,SUPPORT,/ASIM-1885-6"-S8810111-91261M7-HC-01/B1,150,1193413.2836192448,421773.221,-1141354,1184.15,219.634494,2153.879,219.634494,2153.879,2
SUPPORT PS-12156,SUPPORT PS-12156,REST,/ASIM-1885-6"-S8810111-91261M7-HC-01/B2,150,1215860.1401181368,438667.219,-1159925,1157.2,489.253398,4797.937,489.253398,4797.937,3
SUPPORT PS-12156/SREF,SUPPORT PS-12156/SREF,IGNORED_SUPPORT,/ASIM-1885-6"-S8810111-91261M7-HC-01/B2,150,1217996.1401181368,438667.219,-1159925,1157.2,134.316307,1317.193,134.316307,1317.193,3
SUPPORT PS-12170,SUPPORT PS-12170,REST,/ASIM-1885-6"-S8810111-91261M7-HC-01/B2,150,1235055.6564453298,437523.219,-1158821.227,2184.15,180.047088,1765.659,180.047088,1765.659,2
SUPPORT PS-12170/SREF,SUPPORT PS-12170/SREF,IGNORED_SUPPORT,/ASIM-1885-6"-S8810111-91261M7-HC-01/B2,150,1238665.5513382636,437523.219,-1158821.227,2184.15,0,0,0,0,0
SUPPORT PS-12170.3,SUPPORT PS-12170.3,REST,/ASIM-1885-6"-S8810111-91261M7-HC-01/B2,150,1242275.4462311973,437523.219,-1158821.227,2184.15,0,0,0,0,0
SUPPORT PS-12170.2,SUPPORT PS-12170.2,REST,/ASIM-1885-6"-S8810111-91261M7-HC-01/B2,150,1245885.341124131,437523.219,-1158821.227,2184.15,0,0,0,0,0
SUPPORT PS-12169/SREF,SUPPORT PS-12169/SREF,IGNORED_SUPPORT,/ASIM-1885-6"-S8810111-91261M7-HC-01/B2,150,1262731.6019914572,437523.219,-1152235,2184.15,0,0,0,0,0
SUPPORT PS-12169,SUPPORT PS-12169,REST,/ASIM-1885-6"-S8810111-91261M7-HC-01/B2,150,1296424.1237261093,437523.219,-1152235,2184.15,0,0,0,0,0
